date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:55:42	69/69	---MCZ	200	added ('OK')	text/plain	date:Sun,%2025%20Apr%202021%2012:55:43%20GMT	https://f7.vamtam.com/robots.txt		(from )
14:55:43	235053/235053	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Apr%202021%2012:55:43%20GMT	https://f7.vamtam.com/	C:/My%20Web%20Sites/Gym%2010/f7.vamtam.com/index.html	(from )
14:55:43	3846/3846	---M--	200	added ('OK')	image/gif	etag:%22604ce05e-4870%22	https://f7.vamtam.com/wp-content/themes/f7/vamtam/assets/images/loader-ring.gif	C:/My%20Web%20Sites/Gym%2010/f7.vamtam.com/wp-content/themes/f7/vamtam/assets/images/loader-ring.gif	(from https://f7.vamtam.com/)
14:55:43	72440/72440	---MCZ	200	added ('OK')	text/css	etag:W/%2260620d90-11af8%22	https://f7.vamtam.com/wp-content/plugins/instagram-feed-pro/css/sbi-styles.min.css?ver=5.12	C:/My%20Web%20Sites/Gym%2010/f7.vamtam.com/wp-content/plugins/instagram-feed-pro/css/sbi-styles.min8040.css	(from https://f7.vamtam.com/)
14:55:43	58171/58171	---MCZ	200	added ('OK')	text/css	etag:W/%2260788bfb-e33b%22	https://f7.vamtam.com/wp-includes/css/dist/block-library/style.min.css?ver=5.7.1	C:/My%20Web%20Sites/Gym%2010/f7.vamtam.com/wp-includes/css/dist/block-library/style.mina78f.css	(from https://f7.vamtam.com/)
14:55:44	3276/3276	---MCZ	200	added ('OK')	text/css	etag:W/%226081a267-41f%22	https://f7.vamtam.com/wp-content/cache/min/1/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style.css?ver=1619108455	C:/My%20Web%20Sites/Gym%2010/f7.vamtam.com/wp-content/cache/min/1/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style83f9.css	(from https://f7.vamtam.com/)
14:55:44	172623/172623	---MCZ	200	added ('OK')	text/css	etag:W/%226081a267-4905%22	https://f7.vamtam.com/wp-content/cache/min/1/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=1619108455	C:/My%20Web%20Sites/Gym%2010/f7.vamtam.com/wp-content/cache/min/1/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style83f9.css	(from https://f7.vamtam.com/)
14:55:44	17923/17923	---MCZ	200	added ('OK')	text/css	etag:W/%226081a267-a2a%22	https://f7.vamtam.com/wp-content/cache/min/1/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=1619108455	C:/My%20Web%20Sites/Gym%2010/f7.vamtam.com/wp-content/cache/min/1/wp-content/plugins/woocommerce/assets/css/woocommerce-layout83f9.css	(from https://f7.vamtam.com/)
14:55:44	7041/7041	---MCZ	200	added ('OK')	text/css	etag:W/%226081a267-493%22	https://f7.vamtam.com/wp-content/cache/min/1/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=1619108455	C:/My%20Web%20Sites/Gym%2010/f7.vamtam.com/wp-content/cache/min/1/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen83f9.css	(from https://f7.vamtam.com/)
14:55:45	63789/63789	---MCZ	200	added ('OK')	text/css	etag:W/%226081a267-22fc%22	https://f7.vamtam.com/wp-content/cache/min/1/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=1619108455	C:/My%20Web%20Sites/Gym%2010/f7.vamtam.com/wp-content/cache/min/1/wp-content/plugins/woocommerce/assets/css/woocommerce83f9.css	(from https://f7.vamtam.com/)
